125,@saputra_m76 @dahnilanzar carikan saya satu saja ceramah ustadz hanan attaki mengkafirkan orang lain..,narkuys212
126,"@ustadtengkuzul ustadz jenius, mampu menghadirkn bnyak antek komunis",wendrajumaisr
127,"viral ust.hanan attaki ,lc acara di tegal gagal , jamaah sudah sangat banyak yg datang https://t.co/dqmeq1po9m",mciskandar
128,"@pemikir5 @e3ddesign gerombolan banser ini.
sedah seharusnya di bubarkan..gk ada mamfaatnya, yg ada bukin ricuh",AntiMajos_
129,"@dahnilanzar ustadz cabul ?
waras, waras, waraaas !!!",YudaPra75346729
130,@dahnilanzar emang ada ya pengajian dari ustadz muhammadiyah yang dibubarkan? tradisi anda ini kan muhammadiyah yang notabene sejalan dg ideologi kebangsaan yang mau kita jaga bersama. kalau propaganda nya membuat khilafah ala mereka bagaimana?,SelatanSantri
131,"@sahal_as siip setuju p sahal..
pemikiran lawan dengan pemikiran...jikalau dilawan dengan pengusiran...rep dadi opo...mugi2 rekan2 banser ..mengambil contoh jejak gus na_dirs..melawan dengan ilmu..",altarcahaya
132,@abashchow @dahnilanzar tolong carikan saya satu saja cwramah ustad hanan attaki yang mengandung unsur profokatif?,narkuys212
133,gerakan pemuda pembubar kajian..👎 https://t.co/ymmyf6w6wj,gilang_purwitan
134,"@dahnilanzar buktikan ucapan mu kalau ustadz junjungan mu diusir dan siapa yg ngusir,kayak pepesan kosong gitu bahasamu dahnil.tidak berbobot bagai ampas sampah",AnturiPak
135,"salah satu bagian dari kewajiban sebagai pasukan banser adalah mengawal ulama/kiai.

#kiairezaahmadzahid https://t.co/euk6fquq3d",UtaraPac
136,"@si_ulpeh ibu katholik bawa anjing masuk masjid dibela
ustadz ceramah di masjid diusir.

sbnrnya agama mrk apa sih..?",Wakhid73211919
137,@ustadtengkuzul pada nonggol pki ustadz,Ssnart1
138,ustadz pencari popularitas. ada.,adietile
139,@theyweisme @muhichsanakbar barangkali kalo ada banser dong tolong yuk kita mutualan,nilamCES
140,"hmmm.. ...

menurut gp ansor, isi ceramah ustaz hanan attaki kerap mengandung hal kontroversial. https://t.co/guo8asuflc",Gofiz76
141,"@m_asrodin76 @kangcalakan @aldhiraaa @ronaldpatina @burhanmuhtadi yg aneh itu siapa anda??  kgn sok jd jubir nu dan banser??  org gak jelas.. klo komen ngawur malah mmbkin perpecahan.. 

klo anda bukan pnggil banser atau nu.. komen2 anda dr awal itu bulshit🤣",bang_hilmi02
142,"diprotes gp ansor, pengajian ustadz hanan attaki di tegal dibatalkan - pantura post https://t.co/vkkheiehcn",maazz_uje
143,"@dahnilanzar habib, kyai, ustadz, itukan hanya 
sebutan panggilan aja sedangkan 
yg di nilai ucapannya dan prilakunya

lihatlah yg kluar dr duburnya 
klo telor ambillah klo tai abaikan 

rasul tdk nganjurkan liat duburnya 
dan abaikan telornya",ALMARONI3
144,@wardianhadinat1 wadooooo baru liat me ini di grup ttb banser,petraLM10
145,@dahnilanzar saya yakin itu ngustadz bukan ustadz..,is_rofy
146,"ust abdul somat di bubarin, ust felix juga ikut di bubarin.
nah sekarang ust selembut dan segaul hanan attaki juga ikut di bubarin.",Ardiansyah_Vidy
147,"kesel aku, sama banser. https://t.co/e12bthlojd",ipanchaniago
148,sampai banser dikirim ke papua https://t.co/cvbaqlbiv9,angkvgadang
149,@vlibx mane ada ustadz kek elu,SEJEONGlibx
150,"@ustadtengkuzul saya selalu bingung dengan antum. seorang ustadz tapi selalu melempar isu provokatif biar umat ini berantem terus. apa ga ada rasa kasih di hati anda untuk mendamaikan klo cuitannya mau buat berantem terus? ane, pak jokowi dan pendukungnya juga bukannya umat dakwah ya?",SelatanSantri
151,mui kritik gp ansor soal penolakan hanan attaki: itu domainnya polisi https://t.co/lrsrcm1jbs,Trust_riau
152,@ustadtengkuzul sebagai ustadz lebih baik fokus ke agama dakwah yg baik baik.  klw politik itu penuh dengan pitnah dan saling membunuh karakter.  sy sedih liat ustadz di hina di caci hanya karena beda pilihan politik.   politik itu kelompok pasti ada yg dirugikan ada pula yg di untungkan,GunGunG80112651
153,"@ustadtengkuzul @ekki_w slalu kesombongan ""tergambar"" di-tulisan-nya  ....

kalau pembantu kenapa ustadz  ... ?? emang engkau lebih mulya dari-nya. 

bilal bahkan budak dulunya  ... istighfar tad.",OnayRiano
154,silakan ditonton penjelasan ustadz ali nurdin ketika ngobrol dgn gue terkait stand-up dan islam https://t.co/4paaqwlw3p https://t.co/qkqiaschyx,pandji
155,"kami bersamamu ustadz😥 itu yang bilang ada unsur provokatif, dari mana?  kalo ceramah halus banget yaallah ""hananattaki"" https://t.co/1vbnivj0oc",NabilaR18275246
156,"@afiffuads @ngehi_lawu bercandaanya yang sopan d ributin banser, klo dangdutan malah d jagain",cinta_zid
157,@gambio7 @ayyashferry banser ngiri gak punya ustad milenial,Hiday1204
158,"definisi pernikahan dan nasehat bagi yang akan menikah, ustadz dr khalid... https://t.co/6fw4sfnott via @youtube",putrinyajeng
159,"#repost from hanan_attaki with @regram.app 
 ... 

tegal today

terimakasih buat semua sahabat di kota tegal. untuk semangat &amp; kelapangan dadanya hari ini

indahnya kebersamaan kita tadi… https://t.co/v7kxjwfrfq",amhienpato
160,"ust hanan attaki, luar biasa dakwah beliau di generasi muda. ceramah2nya tentang optimisme, semangat belajar, mencintai orang tua, iman dan amal sholeh, semangat belajar, generasi sholeh, cinta tanah air, taqwa, pernikahan, kisah sahabat, dll.",BatangtarisAde
161,"bila semua ustadz yg berbeda dan dianggap tdk sesuai dg kelompoknya diusir, dan kelompok lain melakukan hal serupa. maka perpecahan di republik kita menjadi nyata. mrk yg teriak nkri sesungguhnya perusak nkri. mrk… https://t.co/roy7ybyy6g",NenkMacan
162,"@ndonback_ masalahnya,
pak bupati bukan banser.",NU_rhs
163,@dahnilanzar banser sok berkuasa...kalo berani d jabar...,Abdulla81601338
